root_id,supervoxel_id,position,type,is_fafb_ol_type
720575941391408790,74170443741641676,"[62316, 53603, 2813]",T5c,True
720575941391410582,73959062630982178,"[55672, 45564, 2746]",T5b,True
720575941391416726,73958719100753123,"[56252, 34830, 3025]",T4a,True
720575941391432598,73888488063664570,"[53516, 39199, 3930]",T4d,True
720575941391433732,73676968641571577,"[47671, 27730, 734]",Mi1,True
720575941391444886,73747750306855482,"[50316, 38982, 2906]",T4c,True
720575941391445910,73326018811062502,"[38824, 54100, 2656]",T4c,True
720575941391446788,73676694099215843,"[47408, 19856, 1840]",Tm2,True
720575941391451908,73606600367311910,"[47097, 27064, 2349]",Mi15,True
720575941391458710,73958238131496380,"[56409, 21819, 3255]",Mi9,True
720575941391460758,74029156027421337,"[57444, 38709, 938]",Mi13,True
720575941391464598,73888487325441028,"[54970, 39287, 1105]",,False
720575941391465476,73465931330365292,"[41536, 29267, 1453]",Dm3v,True
720575941391465732,73395562921590128,"[40823, 29734, 2678]",Tm1,True
720575941391465988,73254824896447709,"[36464, 30416, 665]",TmY4,True
720575941391468292,73466000117063358,"[42137, 32280, 1752]",Dm2,True
720575941391468438,73677587519878045,"[47856, 45857, 2161]",Y12,True
720575941391476118,73748093501658244,"[51103, 50494, 1388]",T4a,True
720575941391476886,74099593490997239,"[59686, 40180, 927]",Mi13,True
720575941391477910,74029568545685813,"[58743, 50611, 1731]",T5d,True
720575941391478788,73959268588181725,"[57241, 51505, 2006]",Tm9,True
720575941391484932,73044200035480353,"[30216, 43602, 1832]",TmY9q,True
720575941391485078,73747681520442839,"[50811, 38641, 2715]",T4c,True
720575941391489796,73466412165251018,"[41450, 43684, 643]",Tm1,True
720575941391491588,73748093300067924,"[50577, 49347, 532]",Tm9,True
720575941391491844,73747681117986745,"[49269, 38003, 1239]",Sm15,True
720575941391492246,74099937692080896,"[60392, 50382, 3095]",T5b,True
720575941391492758,74029568747040607,"[58638, 51095, 2503]",T5c,True
720575941391498390,73958925393211428,"[56086, 42601, 3462]",T5c,True
720575941391506582,73888762471632369,"[55041, 47914, 2073]",T5a,True
720575941391509910,73958306985286127,"[57141, 22821, 3819]",Tm2,True
720575941391511446,74028675796364106,"[58372, 23869, 3988]",Dm3q,True
720575941391514006,74240125022283316,"[63513, 34556, 1676]",,False
720575941391516420,73607149653831181,"[46210, 43387, 728]",Tm9,True
720575941391516932,73888556581773944,"[55109, 42465, 3145]",T5d,True
720575941391517700,73888624965984658,"[53431, 43980, 1976]",T5d,True
720575941391519894,73888144063473604,"[53286, 29991, 2336]",Mi4,True
720575941391522198,73959268520909655,"[55884, 53065, 1695]",LLPC1,True
720575941391527684,73114500463212403,"[32328, 42408, 3510]",Tm2,True
720575941391529476,73255031054969602,"[35093, 34820, 705]",T1,True
720575941391531670,74029293667742189,"[57376, 42729, 1705]",T4a,True
720575941391537668,73396318836247762,"[39608, 52005, 2812]",T4c,True
720575941391550358,73395837665715776,"[38919, 37872, 2298]",,False
720575941391551748,73536574683715551,"[44480, 38736, 304]",,False
720575941391563012,73958993441870181,"[55451, 43871, 997]",,False
720575941391563926,73747406307089102,"[50598, 28691, 1454]",TmY5a,True
720575941391564548,73677312306177727,"[47783, 38259, 796]",Tm4,True
720575941391568132,73395837195609959,"[40692, 38765, 420]",Dm4,True
720575941391572740,73888830721373433,"[53834, 50421, 461]",Tm2,True
720575941391572996,73536987000823335,"[43230, 50102, 405]",Tm3,True
720575941391580164,73748162489513737,"[50343, 52663, 2382]",Y12,True
720575941391584150,74028538155957419,"[57904, 19675, 3169]",Mi1,True
720575941391608580,74170374619152936,"[63167, 52949, 1158]",T4b,True
720575941391630486,73958306649592636,"[56924, 24391, 2468]",Mi13,True
720575941391648406,73747269069611203,"[49342, 25273, 2283]",Tm9,True
720575941391652758,73606463331250258,"[45983, 24293, 3973]",Tm3,True
720575941391653526,73888213185796543,"[53287, 30916, 3944]",,False
720575941391655318,73747269471771295,"[50749, 26324, 3642]",TmY4,True
720575941391665814,73958993374687169,"[56405, 43070, 721]",Tm1,True
720575941391678980,74099250161961069,"[61367, 29032, 1883]",C3,True
720575941391679236,73466550140861196,"[42031, 49118, 2612]",T4a,True
720575941391691268,73677656037868945,"[48432, 48628, 1340]",T2,True
720575941391692438,73888075746818418,"[54472, 26916, 3932]",,False
720575941391703446,73747337721542083,"[50419, 27162, 1870]",Dm3q,True
720575941391706774,73747475831611007,"[51169, 30825, 4438]",,False
720575941391723670,73958649978395373,"[55374, 33426, 1401]",Tm1,True
720575941391731606,74240606729518127,"[63962, 49061, 4169]",,False
720575941391736982,73958993642782372,"[55642, 44503, 1611]",T4b,True
720575941391749380,73184525274316163,"[34611, 31481, 2169]",Dm3v,True
720575941391758742,73888006557951744,"[55232, 25702, 2273]",,False
720575941391770116,74170168863229244,"[62772, 45260, 2636]",LPLC1,True
720575941391996310,73396044293491064,"[39248, 43920, 3963]",Tm1,True
720575941392001686,73184456353810019,"[33323, 29521, 1524]",Mi15,True
720575941392018582,73747749837502186,"[49632, 39227, 1260]",,False
720575941392019606,73395837396741568,"[39248, 37665, 1110]",Mi13,True
720575941392049046,73536368726930924,"[44576, 31599, 1211]",Dm3q,True
720575941392057238,73959131282913740,"[55301, 47779, 2329]",T3,True
720575941392063126,73677381093429846,"[48222, 39029, 1275]",Tm20,True
720575941392097686,73466687446078677,"[41474, 52208, 2278]",T2a,True
720575941392134806,73818599819070649,"[51233, 54243, 1919]",T5c,True
720575941392137366,73396387018542271,"[40125, 53486, 686]",Tm2,True
720575941392158102,73396387018313559,"[39037, 53632, 596]",Dm10,True
720575941392163734,73537124573827785,"[43782, 54757, 872]",Mi4,True
720575941392170134,73466824482056588,"[41525, 55380, 765]",Mi13,True
720575941392171926,73958994045589719,"[55637, 43692, 3203]",T5b,True
720575941392176534,73888899642120822,"[55109, 52948, 1040]",C3,True
720575941392210436,73114156395653807,"[31625, 31122, 1561]",Mi15,True
720575941392238852,73466343714235841,"[41689, 41901, 1673]",,False
720575941392240534,73536987872907359,"[44496, 50720, 3610]",T2a,True
720575941392242180,73325262561594164,"[37148, 31800, 1494]",Tm20,True
720575941392250006,73818462179009203,"[51944, 50304, 1237]",T2,True
720575941392321686,73466618592482958,"[42886, 50301, 1789]",T3,True
720575941392332548,73114706017298323,"[31616, 48703, 1069]",Dm3q,True
720575941392334852,73325674676989706,"[38463, 44022, 687]",Dm3q,True
720575941392353430,73818049928971284,"[51240, 38050, 1388]",C3,True
720575941392358660,73254894421062900,"[35594, 31574, 3678]",C2,True
720575941392382724,73185212268025590,"[33974, 51566, 1510]",,False
720575941392405654,73184525341335933,"[34732, 32628, 2387]",Tm2,True
720575941392408580,73607287562087428,"[45393, 48727, 2343]",Y12,True
720575941392419844,74029431039690461,"[57696, 45793, 1481]",T3,True
720575941392463620,73114431743461253,"[32264, 39239, 3401]",Tm4,True
720575941392478468,73254962872240565,"[35030, 33723, 2707]",TmY4,True
720575941392493060,73044062865381854,"[29373, 39390, 3014]",Dm10,True
720575941392504836,73185006243870015,"[33455, 46753, 2033]",Dm2,True
720575941392509700,73044131450533778,"[29254, 41017, 2456]",Tm3,True
